-69,19.844
-68,22.351
-67,24.196
-66,25.685
-65,26.935
-64,28.01
-63,28.946
-62,29.747
-61,30.392
-60,30.909
-59,31.314
-58,31.619
-57,31.832
-56,31.958
-55,32
-54,31.958
-53,31.832
-52,31.619
-51,31.314
-50,30.909
-49,30.392
-48,29.747
-47,28.944
-46,27.938
-45,26.746
-44,25.367
-43,23.73
-42,21.699
-41,19.05
-40,16.303
-39,13.556
-38,10.967
-37,9.1936
-36,7.8917
-35,6.8672
-34,6.0377
-33,5.3566
-32,4.7925
-31,4.3211
-30,3.9216
-29,3.5761
-28,3.2701
-27,2.9936
-26,2.741
-25,2.5095
-24,2.2967
-23,2.1006
-22,1.9195
-21,1.7519
-20,1.5966
-19,1.4522
-18,1.3179
-17,1.1929
-16,1.0762
-15,0.96743
-14,0.86585
-13,0.77102
-12,0.68247
-11,0.59984
-10,0.52276
-9,0.45092
-8,0.38404
-7,0.32187
-6,0.26415
-5,0.21067
-4,0.16122
-3,0.11561
-2,0.07366
-1,0.035179
0,0
1,-0.032048
2,-0.061132
3,-0.087423
4,-0.11109
5,-0.13231
6,-0.15127
7,-0.16814
8,-0.18315
9,-0.19649
10,-0.2084
11,-0.21912
12,-0.22891
13,-0.23804
14,-0.24683
15,-0.2556
16,-0.26468
17,-0.27445
18,-0.28528
19,-0.29758
20,-0.31176
21,-0.32826
22,-0.34751
23,-0.36993
24,-0.39594
25,-0.42594
26,-0.46029
27,-0.49929
28,-0.54321
29,-0.59217
30,-0.64623
31,-0.70528
32,-0.76906
33,-0.83568
34,-0.90234
35,-0.96901
36,-1.0357
37,-1.1023
38,-1.169
39,-1.2357
40,-1.3023
41,-1.369
42,-1.4357
43,-1.5023
44,-1.569
45,-1.6357
46,-1.7023
47,-1.769
48,-1.8357
49,-1.9023
50,-1.969
51,-2.0357
52,-2.1023
53,-2.169
54,-2.2357
55,-2.3023
56,-2.369
57,-2.4357
58,-2.5023
59,-2.569
60,-2.6357
-26.211,16.446
-63.11,12.558
-55,20
-49.5,13.519
